city,latitude,longitude,station,dominant_pollutant,timestamp,timestamp_timezone,aqi,AQI_meaning,AQI_health_implications,pm2.5,pm10,o3,co,no2,so2,dew,h,p,t,w
Bristol,51.462839,-2.584482,"Bristol St Paul's, United Kingdom",pm2.5,2024-06-30 07:00:00,+01:00,25.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,13.0,19.4,4.706329113924051,1.6,0.2,,83.3,1014.0,12.7,4.6
Nottingham,52.95473,-1.146447,"Nottingham Centre, United Kingdom",pm2.5,2024-01-30 16:00:00,+00:00,55.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",55.0,22.0,17.5,4.706329113924051,16.0,1.1,,58.0,996.0,10.0,0.7
Southampton,50.90814,-1.395778,"Southampton Centre, United Kingdom",o3,2024-06-30 07:00:00,+01:00,17.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,11.0,17.1,4.706329113924051,3.7,0.7,,91.0,1011.0,14.4,0.2
Portsmouth,50.82881,-1.068583,"Portsmouth, United Kingdom",pm2.5,2024-06-30 07:00:00,+01:00,33.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",33.0,11.0,15.8,4.706329113924051,3.5,0.6,,66.0,1011.9,16.7,3.3
Cardiff,51.48178,-3.17625,"Cardiff Centre, United Kingdom",o3,2024-06-30 08:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",5.0,2.0,21.1,4.706329113924051,1.6,0.2,,97.0,1013.8,13.0,0.5
Belfast,54.59965,-5.928833,"Belfast Centre, United Kingdom",pm2.5,2024-06-30 07:00:00,+01:00,35.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",35.0,20.0,17.2,0.2,4.2,0.5,9.0,81.0,1015.0,12.0,2.0
Dublin,53.345053,-6.254344,"Pearse Street, Dublin 2, Ireland",pm2.5,2024-06-30 06:00:00,+01:00,20.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",20.0,8.0,8.2,4.706329113924051,5.3,3.6504132231404958,,89.5,1016.0,11.1,2.5
Cork,51.911111000177,-8.4750000002426,"South Link Road, Cork, Ireland",so2,2024-06-30 06:00:00,+01:00,0.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",51.30508474576271,40.24025974025974,17.5,4.706329113924051,1.5,0.2,7.0,81.0,1018.0,10.0,3.0
Limerick,52.66385,-8.626646,"O'Connell St, Limerick, Ireland",pm2.5,2024-06-30 08:00:00,+01:00,28.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",28.0,8.0,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,10.0,87.0,1018.0,12.0,3.0
Galway,53.292096,-8.987049,"Briarhill, Co. Galway, Ireland",pm2.5,2024-06-30 06:00:00,+01:00,17.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,9.0,16.22236842105263,4.706329113924051,11.3,3.6504132231404958,9.0,87.0,1018.0,11.0,1.5
Waterford,52.263829,-7.117967,"Merchants Quay, Waterford City, Ireland",pm2.5,2024-06-30 06:00:00,+01:00,18.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",18.0,7.0,16.1,4.706329113924051,1.1,3.6504132231404958,,85.0,1016.4,10.0,5.0
Derry,55.002851,-7.331128,"Derry Rosemount, United Kingdom",o3,2024-06-30 07:00:00,+01:00,20.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,12.0,20.4,4.706329113924051,0.5,0.6,,76.5,1009.2,12.0,6.0
Dundalk,39.2981,-76.604698,"Oldtown, Maryland, USA",pm2.5,2022-01-13 06:00:00,-05:00,63.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",63.0,40.24025974025974,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,,83.0,1015.8,-1.6,1.0
Lisburn,54.543516,-6.008608,"Lisburn Dunmurry Seymour Hill, United Kingdom",pm2.5,2024-06-30 04:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",21.0,10.0,19.5,4.706329113924051,1.4,1.1,9.0,81.0,1014.0,12.0,2.5
Newry,54.180381,-6.33924,"Newry Canal Street, United Kingdom",pm10,2024-06-30 07:00:00,+01:00,16.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",21.0,16.0,19.5,4.706329113924051,3.2,1.1,,85.0,1015.5,12.2,2.2
Bangor,44.817398,-68.772762,"Bangor MSS, Maine, USA",pm2.5,2024-06-30 02:00:00,-05:00,15.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",15.0,8.0,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,,94.3,1010.9,15.9,4.8
Brighton,43.145021,-77.557608,"Rochester Near Rd, New York, USA",pm2.5,2024-06-30 02:00:00,-04:00,29.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",29.0,40.24025974025974,32.8,1.0,2.3,3.6504132231404958,,96.0,1011.2,21.8,1.0
Cambridge,52.199575,0.12774,"Cambridge Gonville Place, United Kingdom",pm2.5,2022-05-13 09:00:00,+01:00,30.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",30.0,11.0,25.0,4.706329113924051,5.1,3.7,,61.7,1017.4,15.0,0.2
Carlisle,54.894834,-2.945307,"Carlisle Roadside, United Kingdom",pm2.5,2021-06-21 11:00:00,+01:00,46.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",46.0,15.0,30.0,4.706329113924051,17.9,3.6504132231404958,5.0,58.0,1018.0,13.0,3.6
Chester,39.8356,-75.3725,"Chester, Pennsylvania, USA",pm2.5,2024-06-30 01:00:00,-04:00,25.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,40.24025974025974,16.8,4.706329113924051,4.2,3.6504132231404958,,96.0,1015.5,24.4444,1.9
Coventry,52.411563,-1.560228,"Coventry Allesley, United Kingdom",o3,2024-06-30 07:00:00,+01:00,20.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,9.0,19.5,4.706329113924051,1.0,3.6504132231404958,,75.3,1012.7,13.8,2.6
Derby,39.838199,-104.94984,"Welby, Colorado, USA",pm10,2024-06-29 23:00:00,-06:00,14.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",68.0,14.0,12.6,2.9,4.2,0.6,,76.0,1026.0,17.2222,1.0
Durham,35.9919,-78.8964,"Durham Armory, North Carolina, USA",pm2.5,2024-06-30 02:00:00,-05:00,25.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,12.0,15.2,4.706329113924051,6.365625,0.2,,80.5,1022.5,27.6,0.3
